dates,monthly_open_issues,monthly_merged_PRs,monthly_closed_PRs,monthly_open_PRs,monthly_contributors,monthly_issue_comments,monthly_watchers,monthly_PR_comments,monthly_commits,monthly_PR_mergers,monthly_closed_issues,monthly_stargazer,monthly_forks,sina_score,paul_score,monthly_features,monthly_buggy_commits,developer_skill,license
2015-02-01,83,80,80,80,1,0,0,0,382,1,80,2,2,1,1,75,74,542,1
2015-03-01,17,17,17,17,2,2,0,0,239,1,19,2,1,1,1,11,41,137,1
2015-04-01,104,104,104,104,1,2,0,0,656,1,104,1,0,1,1,2,74,864,1
2015-05-01,196,188,188,188,2,60,0,0,747,1,192,0,0,1,1,1,83,563,1
2015-06-01,97,70,70,70,2,138,0,5,471,1,78,0,1,1,1,3,81,309,1
2015-07-01,87,73,73,73,1,71,1,0,409,1,81,0,0,1,1,2,91,563,1
2015-08-01,157,41,41,41,1,24,0,0,322,1,147,0,0,1,1,0,77,510,1
2015-09-01,118,71,72,72,2,83,0,0,552,1,146,0,0,1,1,56,135,385,1
2015-10-01,122,113,113,113,1,51,0,5,557,1,123,0,0,1,1,85,178,793,1
2015-11-01,91,87,88,88,1,65,2,2,464,1,94,1,0,1,1,55,142,646,1
2015-12-01,26,25,25,25,2,6,0,0,233,1,25,3,0,1,1,23,74,141,1
2016-01-01,26,22,22,22,1,41,0,0,117,1,28,2,0,1,1,21,39,167,1
2016-02-01,34,30,31,31,1,26,0,2,164,1,39,3,1,1,1,11,61,234,1
2016-03-01,16,9,13,13,1,45,0,0,106,1,17,2,2,1,1,24,34,136,1
2016-04-01,40,33,39,39,1,17,0,0,130,1,40,2,0,1,1,10,36,209,1
2016-05-01,43,35,36,36,1,49,0,0,99,1,42,1,0,1,1,14,14,177,1
2016-06-01,25,23,23,23,1,19,0,0,70,1,24,0,0,1,1,9,15,117,1
2016-07-01,1,1,1,1,1,2,0,0,4,1,1,2,0,1,1,0,1,6,1
2016-08-01,17,16,16,16,1,26,0,0,49,1,18,1,0,1,1,6,15,83,1
2016-09-01,2,2,2,2,1,2,0,0,7,1,3,2,0,1,1,0,0,12,1
2016-10-01,9,9,9,9,1,1,0,0,61,1,9,1,0,1,1,0,15,79,1
2016-11-01,34,31,31,31,1,15,0,0,77,1,35,0,0,1,1,14,32,143,1
2016-12-01,12,11,11,11,1,9,0,0,20,1,11,1,0,1,1,1,4,42,1
2017-02-01,2,2,2,2,1,1,0,0,2,1,3,0,0,1,1,0,1,7,1
2017-03-01,7,4,4,4,2,35,0,0,7,1,5,0,0,1,1,0,0,8,1
2017-04-01,3,1,2,2,1,17,0,0,1,1,2,1,0,1,1,0,0,5,1
2017-05-01,11,4,6,7,1,17,0,0,5,1,8,2,1,1,1,0,3,19,1
2017-06-01,5,5,5,4,1,6,0,0,5,1,6,1,1,1,1,0,0,16,1
2017-07-01,24,12,16,16,3,130,0,5,13,1,26,0,2,1,1,2,4,18,1
2017-08-01,7,6,6,6,2,9,0,0,6,1,7,1,1,1,1,0,1,9,1
2017-09-01,8,4,6,6,1,16,0,0,4,1,9,0,0,1,1,0,3,19,1
2017-10-01,6,6,6,6,2,1,0,0,6,1,6,2,0,1,1,0,1,9,1
2017-12-01,3,1,1,2,1,4,0,0,1,1,1,1,0,1,1,0,0,3,1
2018-01-01,6,1,1,1,1,16,0,0,2,1,3,0,0,1,1,0,0,6,1
2018-02-01,2,1,1,1,1,3,0,0,1,1,3,2,0,1,1,0,1,5,1
2018-03-01,3,2,3,2,1,2,0,0,2,1,3,2,0,1,1,1,0,8,1
2018-05-01,3,1,1,1,1,13,0,1,1,1,3,0,1,1,1,0,0,5,1
2018-06-01,6,1,1,1,1,13,0,0,1,1,3,0,0,1,1,0,0,5,1
2019-02-01,9,7,7,8,2,17,0,0,8,1,13,4,1,1,1,1,0,14,1
2019-03-01,10,6,6,6,2,23,0,0,10,2,11,1,0,1,1,3,0,13,1
2019-04-01,3,1,2,1,1,17,0,0,2,1,5,3,1,1,1,0,0,9,1
2019-09-01,4,1,1,1,1,22,0,0,2,1,3,2,0,1,1,0,0,6,1
2019-10-01,0,0,0,0,1,3,0,0,7,0,2,2,0,1,1,1,0,9,1
2019-11-01,5,1,1,1,1,56,0,0,1,1,2,3,0,1,1,0,0,4,1
2020-01-01,12,1,1,3,2,42,0,2,11,1,4,0,1,1,1,3,1,8,1
2020-02-01,9,0,0,2,1,65,0,21,1,0,1,3,0,1,1,0,0,2,1
2020-03-01,2,1,2,1,1,8,0,2,1,1,2,1,1,1,1,0,0,5,1
2020-04-01,7,3,3,3,3,49,0,4,4,1,5,2,2,1,1,2,0,4,1
2020-05-01,8,9,10,8,2,36,0,1,18,1,13,2,1,1,1,3,0,20,1
2020-06-01,2,1,1,1,1,19,0,0,2,1,8,4,1,1,1,0,0,11,1
2020-07-01,3,1,1,1,2,3,0,0,2,1,2,1,0,1,1,0,0,2,1
2020-08-01,2,1,1,1,1,9,0,0,1,1,3,2,0,1,1,1,0,5,1
2020-09-01,5,2,2,2,2,37,0,0,2,1,11,1,0,1,1,1,0,7,1
2020-10-01,4,2,3,3,1,4,0,0,2,1,7,1,0,1,1,0,0,12,1
